Wine Name,Grape,Popularity,Score,Avg Price(nzd)
"Destiny Bay 'Magna Praemia', Waiheke Island, NZ",Bordeaux Blend,9055,93,486
"Fernlands Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9055,88,16
"Astrolabe Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9099,89,25
"Pegasus Bay Prima Donna Pinot Noir, Waipara, NZ",Pinot Noir,9134,92,103
"The Ned Waihopai River Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9172,88,18
"Escarpment Pinot Noir, Martinborough, NZ",Pinot Noir,9273,90,45
"Palliser Estate Pinot Noir, Martinborough, NZ",Pinot Noir,9273,89,49
"The Pass Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9314,88,14
"Villa Maria Private Bin Pinot Noir, Marlborough, NZ",Pinot Noir,9479,87,23
"Tinpot Hut Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9479,87,23
"Ti Point Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9857,87,18
"Duck Hunter Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10038,89,25
"Craggy Range Syrah, Gimblett Gravels, NZ",Syrah,10088,90,39
"Matua Valley Pinot Noir, Marlborough, NZ",Pinot Noir,10088,85,20
"Oyster Bay Chardonnay, Marlborough, NZ",Chardonnay,10208,85,18
"Oyster Bay Merlot, Hawke's Bay, NZ",Merlot,10208,87,18
"Rapaura Springs Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10208,88,21
"Framingham Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10307,88,23
"Kim Crawford Pinot Noir, Marlborough, NZ",Pinot Noir,10527,86,27
"Craggy Range Kidnappers Vineyard Chardonnay, Hawke's Bay,NZ",Chardonnay,10569,88,29
"Rapaura Springs Reserve Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10710,89,21
"Villa Maria Reserve Sauvignon Blanc, Wairau Valley, NZ",Sauvignon Blanc,10754,90,25
"Chasing Venus Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10858,87,20
"Saint Clair Wairau Reserve Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,10956,90,33
"Gibbston Valley Pinot Noir, Central Otago, NZ",Pinot Noir,11132,90,41
"Babich Wines Black Label Pinot Noir, Marlborough, NZ",Pinot Noir,11228,89,35
"Kumeu River Rays Road Chardonnay, Hawke's Bay, NZ",Chardonnay,11228,90,41
"Rippon Tinker's Field Mature Vine Pinot Noir, Wanaka, NZ",Pinot Noir,11228,92,103
"Vavasour Sauvignon Blanc, Awatere Valley, NZ",Sauvignon Blanc,11330,89,20
"The Little Sheep of NZSauvignon Blanc,Marlborough, NZ",Sauvignon Blanc,11539,88,18
"Silver Moki Sauvignon Blanc Blush, Marlborough, NZ",Rare Rose Blend,11539,83,18
"Clos Henri Pinot Noir, Marlborough, NZ",Pinot Noir,11539,90,49
"Marlborough Sun Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,11605,85,23
"Jules Taylor Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,11605,88,21
"Escarpment Chardonnay, Martinborough, NZ",Chardonnay,11605,90,35
"Fault Line Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,11729,87,18
"Prophet's Rock Home Vineyard Pinot Noir, Bendigo, NZ",Pinot Noir,11780,90,59
"Escarpment Te Rehua Pinot Noir, Martinborough, NZ",Pinot Noir,11905,92,70
"Cloudy Bay Pelorus Brut, Marlborough, NZ",Brut,12000,89,37
"Two Rivers Convergence Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,12062,89,21
"Huia Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,12121,89,27
"Martinborough Vineyard Te Tera Pinot Noir, Martinborough,NZ",Pinot Noir,12121,89,25
"Rockburn Pinot Noir, Central Otago, NZ",Pinot Noir,12284,90,37
"Ata Rangi McCrone Block Pinot Noir, Martinborough, NZ",Pinot Noir,12350,93,90
"Lindauer Special Reserve Brut Cuvee, NZ",Brut,12350,88,16
